,Username,Konten,Lokasi
217,AhmadNa88154269,"waduh pak Anies Baswedan Mempunyai hutang dengan sandiaga uno?????
#aniesbaswedan #aniesgagal #aniesgabenerpembohong #waspadacapresradikal #waspadaparpolproteroris #bapakpolitikidentitas #sandiagauno #sandiwarauno #hutang https://t.co/j8dUNvnJF0",
218,SasukeArya2022,Simak nih...yg mengaitkan X dgn @Sandiagauno,"New Haven, CT"
219,Edymaull,"Anies Baswedan Mempunyai hutang dengan sandiaga uno?? 
#aniesbaswedan #aniesgagal #aniesgabenerpembohong #waspadacapresradikal #waspadaparpolproteroris #bapakpolitikidentitas #sandiagauno #sandiwarauno #pilpres2024 https://t.co/WnDrucyHcu",
220,portalmediaid,"Anies Baswedan Disebut Miliki Utang Rp 50 Miliar, Sandiaga Uno: Saya Cek Dulu

Baca Selengkapnya: https://t.co/k7l1E7an3R

#BeritaTerkini #media #Online #news #BreakingNews #aniesbaswedan #sandiagauno #politik #Indonesia","Makassar, Indonesia"
221,AsepSeptiyana_,"Waduh gimana ini guys, ternyata masih berhutang untuk kepemimpinan sebelumnya 🤔🤔🤔 #aniesbaswedan #dkijakarta #gubernurdkijakarta #aniesgagal #politikidentitas #wonderfulindonesia #IndonesiaJuara #indonesiamaju #sandiagauno https://t.co/3rNTmG4j0B",
222,faktualid_com,"Sandiaga Uno Bawa Delegasi ATF 2023 Naik Candi Borobudur Kenakan Upanat, Paket Wisata Konservasi Selesai Diujicobakan
#sandiagauno #menparekraf #borobudurtemple #wonderfulindonesia https://t.co/4UrRe2Ja03",Indonesia
223,officialntv_,"Sandi Sebut Aspek Keamanan dan Kenyamanan saat Konser harus dijaga

https://t.co/6WEOjiV6q4

#menparekraf #sandiagauno #konser #konsermusik #konserdewa19 #musik #musikindonesia",Jakarta Pusat
224,panduancoid,"Maju Capres 2024: Anies Punya Hutang Rp50 Miliar dengan Sandi? Selengkapnya👇
https://t.co/t4em8wcAZd

#aniesbaswedan #sandiagauno #capres2024 #news #NewsUpdate #Trending #panduan #jaditau https://t.co/YYJ5kPW34I",
225,jpnncom,"Sandiaga Sebut Jumlah Kunjungan Wisman ke Indonesia 2022 Hampir Mencapai 5,5 Juta #SandiagaUno https://t.co/IsyaIX50VC",Indonesia
226,andrikingo77,"Jadi selama ini masih ada hutang antara Pak Anies ke Pak Sandi tohhh mana lumayan lagi sekitar 50miliar, apa gak mau dilunasi dulu pak? #aniesgagal #aniesbaswedan #aniessombong #hutang #sandiagauno #sandiwara #politikidentitas #politik #jakarta #banjir #macet #rumahdp0 https://t.co/j7bUK2lrdd",
227,ariefalay66,Waduh ternyata Anies ada hutang 50miliar nih? Hutangnya ke Sandi lagi gimana nih yaaa #aniesbaswedan #sandiagauno #sandiwara #aniesgagal #aniesbaswedanjanjidoang #politikidentitas #jakarta #banjir #macet #hutang https://t.co/zoqiWHyeS5,
228,sobat_sandi,"Tahun lalu berhasil melibatkan 3.4189 Desa, dan tahun ini targetnya menjadi 4.000 👏

@sandiuno @Kemenparekraf 

#sandiagauno #sandiuno #menteri  #FYP #indoviral #Twitter  #BreakingNews #survivor2023  #beritaViral #pictures
#quote #destination #vacation #wisata #indonesia https://t.co/BjEmfGGz0b",
229,ediedot108,@JarnasABWBpn Seharusnya Sandiagauno tidak perlu mengungkap persoalan utang piutang jika sudah dianggap lunas sehingga tdk bikin ramai utk itu Sandiaga Uno bisa memberkan klarifikasi dg pernyataan ini.,", Indonesia"
230,Muhamma48288841,"PenjelasanSandiaga
Wakil Ketua Dewan Pembina Partai Gerindra SandiagaUno sebelumnya menjelaskan perjanjian yg ditekennya bersama Ketum Partai Gerindra Prabowo Subianto dan Anies Baswedan saat Pilkada DKI 2017. Prabowo Subianto #15Tahun #KitaGerindra #IkutPakde # Prabowo Subianto https://t.co/s67uixgGCF",
231,JerzPsila,"Kalo bukan @aniesbaswedan  jadi gubernir, tidak mungkin @sandiagauno  jd wagub? Ente salah @HelmiFelis_ , sebaliknya kalo bukan modal dari Sandiaga, apa mungkin anies nyagub? Opinimu kebalik, seperti sering caramu make sempak kebolak balik","Amsterdam, The Netherlands"
232,KoncoAirlangga,#AirlanggaHartarto #GolkarIndonesia #Jokowi #GanjarPranowo #AniesBaswedan #Prabowo #SandiagaUno #PrayForTurkey https://t.co/cVTLkHlhQV,
233,Bolo_Airlangga,#AirlanggaHartarto #GolkarIndonesia #Jokowi #GanjarPranowo #AniesBaswedan #Prabowo #SandiagaUno #PrayForTurkey https://t.co/Eo6FcS2Sys,
234,tribunnews,"Fadli Zon mengaku tak tahu jika Anies Baswedan punya utang Rp 50 miliar ke Sandiaga Uno saat Pilkada DKI (ist)
#AniesUtangRp50M #AniesBaswedan #SandiagaUno #FadliZon https://t.co/o9Okt8405c",Indonesia
235,wijayantodwiii,"bisa aja pak anies ngutang ke pak sandi kayak ngutang ke ibu kantin 😋

#aniesbaswedan #sandiagauno #fyp https://t.co/uwKPdwa5Cj",
236,fajaronline,Ada Tujuan Terselubung Sandiaga Ungkap Perjanjian Prabowo-Anies? Pengamat Bilang Begini https://t.co/GBv69uGb6s #AniesBaswedan #Pilpres2024 #SandiagaUno,"Jakarta, Indonesia"
237,tvOneNews,"Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno, mendapat sambutan antusias dari masyarakat saat menghadiri acara HUT ke-15 Partai Gerindra, Senin (6/2/2023).

Simak berita selengkapnya di https://t.co/GgtZcy4bbs
#HardNews_Politik #NewsOne #CariBeritaditvOne #SandiagaUno https://t.co/lgTAApy8nv",Pulo Gadung
238,medcom_id,"Menparekraf @sandiuno  mengatakan Yogyakarta telah sukses menjadi tuan rumah ASEAN Tourism Forum (ATF) 2023 yang berlangsung 2-5 Februari 2023. Hal ini mengulang momen yang sama pada 20 tahun lalu

#pariwisata #pariwisataindonesia #jogja #sandiagauno

https://t.co/VBvFEBZmtM","Jakarta Capital Region, Indone"
239,VIVAcoid,"Mereka begitu bersemangat untuk berfoto bersama, dan Sandiaga pun mengiyakan permintaan mereka. Tampak tidak hanya ibu-ibu, bahkan bapak-bapak juga berebut agar bisa bersalaman dengan Sandiaga. 
Selengkapnya di https://t.co/lrb6pq9aWj 
___
#vivacoid #gerindra #sandiagauno https://t.co/DkdXVKx939",
240,VideoTRIBUN,"Ungkap Isi Perjanjian Politik Anies-Sandiaga, Erwin Aksa Sebut Hal Serupa Pernah Dilakukan SBY-JK
Selengkapnya: https://t.co/x5ZaP0HYxq

#beritaterkini #perjanjianpolitik #aniesbaswedan #sandiagauno #SBY #jusufkalla https://t.co/cwnxOmqyU9",
241,fajaronline,"Soal Utang Rp 50 M Anies Baswedan, Faizal Assegaf Sebut Erwin Aksa Justru Rendahkan Martabat Sandiaga Uno https://t.co/OYIjOrtG5F #AniesBaswedan #ErwinAksa #FaizalAssegaf #SandiagaUno","Jakarta, Indonesia"
242,fajaronline,"ATF 2023, Sandiaga Dorong Transformasi dan Adopsi Wisata Digital https://t.co/Qbn22eDKEa #ATF2023 #SandiagaUno #WisataDigital","Jakarta, Indonesia"
243,VideoTRIBUN,"NasDem dan Demokrat Beri Respons Anies Baswedan Disebut Punya Utang hingga Rp 50 M ke Sandiaga

#Nasdem #AniesBaswedan #SandiagaUno #beritaviral #beritaterkini

https://t.co/dsruELjBIX",
244,MIntegritas,"Wakil Ketua Umum Partai Golkar Erwin Aksa mengungkapkan, ada perjanjian antara Anies Baswedan dengan Sandiaga Uno menjelang Pemilihan Gubernur DKI Jakarta 2017 lalu.

Selengkapnya di :

https://t.co/cWwLffhs3r

Salam INTEGRITAS. 

#integritasonline #AniesBaswedan #SandiagaUno https://t.co/ileQwuruNO","Jakarta Capital Region, Indone"
245,lawjusticeco,"Soal Isu Utang Rp50 M ke Sandiaga Bukti Anies Tak Didanai Cukong

#aniesbaswedan #sandiagauno #gerindra #nasdem 

https://t.co/LPUtpAPCW0

@aniesbaswedan @sandiuno @Gerindra @prabowo https://t.co/JUAUckVGCq","Jakarta, Indonesia"
246,GuysSandi,"Karang Taruna, Harapan Bangsa 🫡

@sandiuno 

#sandiagauno #sandiuno #menteri  #politik   #FYP #indoviral Sandi Uno #Twitter  #BreakingNews #FYP  #survivor2023  #business #beritaViral #MondayMood Senin #Video #goodmorning https://t.co/77RlOhL3Bw",
247,emakemaksandi,"Jedag jedug,siapa takut?! 😎

#sandiagauno #sandiuno #menteri  #politik   #FYP #indoviral #Twitter  #BreakingNews #FYP  #survivor2023  #business  #beritaViral Senin #CapCut #jedagjedug #editing #Video https://t.co/W4s2qnWD7r",
248,sobat_sandi,"Ujung tombak dari Nilai-nilai Islam Rahmatan Lil'Alamin.

#sandiagauno #sandiuno #menteri  #politik   #FYP #indoviral #Twitter  #BreakingNews #FYP  #survivor2023  #business  #beritaViral #MondayMotivation #islam #Muslim #Muslims https://t.co/jz8xQjVWm8",
249,Asahiyaapp,"""Tiba2 kebangun karna mimpi si Ivan tau kelakuan Sandiagauno. Si ega sendiri yang ngespil ke ivan. Kocak, karna ketiduran baca AU mereka malah masuk ke mimpi...."" - ini sender yg sama kahh??? kenapa jadi masuk mimpi semua ya tuhan ngakak bang... #tellonym  https://t.co/xEH4vE3ZIp",
250,jpnncom,Masyarakat di Lombok Yakin Sandiaga Uno Mampu Memajukan Ekonomi Negeri #SandiagaUno https://t.co/bFAJkYoSAv,Indonesia
251,jpnncom,"Berkat Pendampingan Digital Marketing Sahabat Sandiuno, Penjualan Produk UMKM di Bandung Meningkat #SandiagaUno https://t.co/8OQGt4r9X6",Indonesia
252,AsepSeptiyana_,"SANDIwara teruss, gimana nanti ya klo doi Mencalonkan kembali menjadi cawapres 🤔🤔🤔 #sandiagauno #sandiaga #kemenparekraf #politikidentitas #wonderfulindonesia #IndonesiaJuara #IndonesiaMaju https://t.co/oQZXQsBAFy",
253,lingga_susilo,"Acting mu melebihi Artis Hollywood,  hanya Demi suara Untuk Pilpres  2024.🤣🤣 gitu banget cari Suara nya. #Sandiagauno #Sandigagal #sandiacting #Hollywood #acting #Pilpres2024 #CariSuara https://t.co/um7n8jN8dm",
254,AhmadNa88154269,"Sandiaga uno ramai di medsos dugaan sandiwara bukan pertama kalinya.???
#sandiagagal #BapakPolitikIndentitas 
#sandiagagakbisakerja 
#sandiagauno #waspadacapresradikal 
#captikus #sandiwara #mencarisensasi 
#pilres2024 #acting https://t.co/jq0elet02C",
255,terkinidotid,"Terungkap Sandiaga Uno Utangi Anies Rp50 Miliar pada Pilkada DKI dan Belum Dibayar: Setelah ramai soal perjanjian antara Anies Baswedan dengan Prabowo Subianto terkait pencapresan 2024, kini… https://t.co/WbKfCtbqEG #Politik #anies #aniesbaswedan #aniessandi #sandiagauno","Makassar, Indonesia"
256,PutraAlamsyahJ1,"Waduh.... 🤭🤭🤭 Ada Lanjutkan nya ternyata bro...!!! 
#sandi #sandiagauno #sandiwara https://t.co/mf3CVfy7PP",
257,AhmadMa56712425,@HelmiFelis_ Kelihatan kwalitas #Sandiagauno hanya segitu/ picik,
258,Cahyokt4,"Nah kaaaan.. #MenolakLupa 

#KritikSandi #Ruangsandi #SandiagaUno #WonderfullIndonesia #BangkitBersamaKemenparekraf #DiIndonesiaAja https://t.co/UAc6IYo0oW",
259,Edymaull,"Sandiwaran uno part 2 
#sandiagauno #sandiagakebeletnyapres #sandiagagakbisakerja #sandigagal #bapakpolitikidentitas #pilpres2024 https://t.co/oWTUVt2w0Y",
260,rahmadhdyt709,"Sandiwaranya bagus banget !!
#sandiagauno #sandiagagagal #sandiwara #medsos #politikus #bapakidentitaspolitik https://t.co/pJOxTFeavv",
261,andrikingo77,Pak Sandiaga ini kayanya lebih cocok main FTV deh daripada nyapres abisnya bersandiwara Mulu sihhh #sandiagauno #jago #sandiwara #ngebetnyapres #kacanglupakulit #jakarta #labil #kemenparekraf https://t.co/Uw0nRLAkrn,
262,ariefalay66,"Yaampun banyak banget yaaa sandiwaranya pak Sandiaga Uno tuhhh, ada ada aja deh kelakuannya #sandiagauno #jago #sandiwara #ngebetnyapres #kacanglupakulit #jakarta #labil #kemenparekraf https://t.co/4a4iDuNcrN",
263,Edymaull,"Sandiwaran uno 
#sandiagauno #sandiagakebeletnyapres #sandiagagakbisakerja #sandigagal #bapakpolitikidentitas #pilpres2024 https://t.co/ntDOXQWZB7",
264,NoviSulis21,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto 😊😃😄🙂 https://t.co/wH14bvCDxZ",
265,SafiraZira1,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto 😌🤣😇🤣",
266,AspiSendy,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto 😂😅😆 https://t.co/wkVNfEopEq",
267,Husnaani2,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto 😂😂🤣 https://t.co/UyllIhsHF3",
268,EfindaSri,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto 😌😂😂 https://t.co/pZJ5VZq5cJ",
269,ismiranti_heri,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto 😁😚 https://t.co/YT7iYtc9QO",
270,LarasatiFathina,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto 😃😊🙂 https://t.co/FV0OYeVD8m",
271,Veronicacs14,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto 😃😊😉 https://t.co/WPrfKqSRol",
272,titik_riani,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto 😀😉 https://t.co/tLziDfIJKz",
273,DewiSimi,"""Kira-kira apa isi perjanjian politik itu?

#sandiagauno
#aniesbaswedan
#prabowosubianto https://t.co/vkfqbF7UKv",
274,Economicreview_,Sandiaga Uno Klaim Wisatawan Asing Ke Indonesia Naik 150 Persen https://t.co/zJxwH4Wg8e #sandiagauno,Jakarta Capital Region
275,rahmadhdyt709,"Sudah tercium aroma""kejanggalan pak sandiaga uno!
#sandiagauno #Sandiagagagal #sandiagaforpresiden #sandiagaacting #politikus https://t.co/D5MMDWVWM2",
276,lingga_susilo,"Sudah Ketauan Masih Aja , Bisa Ngeless beliau 1 ini. #Sandiagauno #Sandiagagagal #Sandiagaforpresiden #Sandiagaacting #Politikus #trending2023 #TrendingNow #Trending #TrendingTopics #TRENDINGNEWSTODAY https://t.co/R4hRSrJU12",
277,BobyTrihandoyo,"Hahaha ..
Itu kayanya ngambil yang abis mandi lumpur deh..
Setkng seting ..

#PemimpinSeting #SandiagaUno #WonderfullIndonesia #BangkitBersamaKemenparekraf #DiIndonesiaAja https://t.co/i5n0ojiYbL",
278,ariefalay66,"waaawww Pak Sandi suka Bersandiwara, lain kali jangan sampe ketauan yaa pak malu kan jadinya #pemimpinlabil #sandiagauno #gagalnyapres #capersanasini #sandiwara #rumahdp0 #pindahpartai #ngebetnyapres https://t.co/eWZDChfser",
279,faktualid_com,"Gandeng Qatar Airways, Menparekraf Sandiaga Uno: Pintu Strategis Memajukan Pariwisata Ekonomi Kreatif Indonesia
#qatarairways #menparekraf #sandiagauno https://t.co/SgNUAgxwIE",Indonesia
280,Cahyokt4,"Nah kaaan.. 
Masyarakat mah di cerdaskan bukan dibodohi, Gimana ini.... 
Ckckckckck.. 

#KritikSandi #Ruangsandi #SandiagaUno #WonderfullIndonesia #BangkitBersamaKemenparekraf #DiIndonesiaAja https://t.co/uDBs3oFSZr",
281,andrikingo77,Waduhh pak Sandi jago banget nih bersandiwara sampe ketauan gitu kan hihi #sandiagauno #kemenparekraf #jakarta #labil #tidakkonsisten #sandiwara #ngebetnyapres #politikidentitas #pemimpinlabil https://t.co/Queg2hao2k,
282,AdeFauzyAhmad,"Waduh... Sandiwara Apa Lagi Nih ???
#sandiagauno #sandi #sandiwara #Pilpres2024 https://t.co/QCZkjdYN48",
283,AsepSeptiyana_,"Waduuhh... waduhhh... ternyata begini guys, gimana jadinya yaaa klo bliau mencalonkan lagi 🤔🤔 #sandiagauno #sandiaga #kemenparekraf #politikidentitas #wonderfulindonesia #IndonesiaJuara #indonesiamaju https://t.co/LBRVFs3zut",
284,OfficialiNewsTV,"Menparekraf Sandiaga Salahuddin Uno meninjau persiapan pelaksanaan acara pembukaan (opening ceremony) ASEAN Tourism Forum (ATF) 2023 yang akan berlangsung pada 3 Februari 2023. BIB

#iNews #News #Berita #SandiagaUno #Menparekraf #ASEANTourismForum https://t.co/ax3HVoQJKc",iNews Tower 
285,kuatbacacom,"Diketahui ke-2 partai ini sempat berkoalisi dan memenangkan pasangan Pilkada 2017 lalu. Namun, jelang Pemilu 2024 terlihat keduanya berpisah jalan.
.
#kuatbaca #kuatbacacom #kuatKNOW #newsflash #politik #pemilu2024 #pilpres2024 #aniesbaswedan #prabowosubianto #sandiagauno",
286,mrivaldo1207,"Waduh gimana ini pak Sandi. Kok ketahuan lagi dan lagi
@sandiuno
@prabowo
@aniesbaswedan
#indonesiamaju #ekonomi #captiku #sandiagagal #gagal #wapres#okeoce #wapresgagal#sandiagauno
#bapakpolitikidentitas 
#partaigerindra 
#viraltiktok #fypシ #trendingtiktok https://t.co/ac42x2elrl",
287,AhmadNa88154269,"masyarakat meminta menunjukkan kualitas sebagai cawapres bukan hanya memberikan intik politik yang tidak mendidik masyarakat..???
#sandiagauno #sandiagagal #sandiagakebeletnyapres 
#waspadacapresradikal 
#makasar #captikus 
#BapakPolitikIdentitas https://t.co/gyQ22QIxc2",
288,sobat_sandi,"Ayo kita sukseskan Program Vaksinasi Booster ke- 2 👏

#sandiagauno #sandiuno #menteri  #politik   #FYP #indoviral Wangi #Twitter #holidays #BreakingNews #FYP  #survivor2023  #vaksin #business #vaccine #cov #beritaViral #COVID19 #CovidVaccine #morning #SaturdayThoughts Sabtu https://t.co/dQSIIZAp0w",
289,sobat_sandi,"Susah jadi pengusaha sejak umur 6 tahun😱🫡

#sandiagauno #sandiuno #menteri  #politik   #FYP #indoviral Wangi #Twitter #holidays #BreakingNews #FYP   Februari #survivor2023  Sanggup #healingjourney #business  #beritaViral #pengusaha #work #morning #SaturdayThoughts Sabtu https://t.co/C8FTbeeuV4",
290,Edymaull,"sandiaga uno pindah partai??? 
#sandiagauno #sandiagagagal #sandiagagakbisakerja #waspadacapresradikal #waspadaparpolproteroris #bapakpolitikidentitas #pilpres2024 https://t.co/ZmLIyDFK7C",
291,sobat_sandi,"Kuliner Tanah Air akan semakin banyak yang siap membumbui Dunia melalui Program Indonesia Spice Up The World.

#sandiagauno #menteri  #politik   #FYP Wangi #Twitter #BreakingNews #FYP   Februari #survivor2023  Sanggup  #JumatBerkah  #beritaViral Jumat #foodphotography #Foodies https://t.co/WQSr9jCN2D",
292,sobat_sandi,"Yuk ikutin Mas Menteri @sandiuno keliling desa wisata Baros 😍🥰

#sandiagauno #sandiuno #menteri  #politik   #FYP #indoviral Wangi #Twitter #holidays #BreakingNews #FYP  #vacation Februari #survivor2023  Sanggup #healingjourney #JumatBerkah  #beritaViral Jumat #Bandung https://t.co/CPu5NEtrdj",
293,GerindraTegal,"Sandiaga Uno adalah salah satu orang yang pernah bermitra dan memiliki kedekatan dengan Prabowo Subianto dan Anis Baswedan, namun ketika ditanya jika Anis baswedan dan Prabowo sama sama maju di Pilpres 2024 mana yang Ia pilih? Jawabannya ada didalam video ini.

#sandiagauno https://t.co/6GkNdwLC4Y","Kota Tegal, Jawa Tengah"
294,detikcom,"Menparekraf Sandiaga Uno mewacanakan untuk mempermudah WNA membuat visa ke Indonesia. Ia berencana untuk memanfaatkan TikTok.

#detikcom #SandiagaUno #TikTok https://t.co/6JMFhfGIPN","Jakarta, Indonesia"
295,detikTravel,"Menparekraf Sandiaga Uno mewacanakan untuk mempermudah WNA membuat visa ke Indonesia. Ia berencana untuk memanfaatkan TikTok.

#detiktravel #SandiagaUno #TikTok https://t.co/Jt9Xg6MAgv",Indonesia
296,lingga_susilo,"Mendingan Ga Usah nyapres, Pak Sandi turu aja. #Sandiagauno #Liputan6 #SandiagaunogakbecuskerjA #Sandiwarauno #Sandigagal #Caripartai #Nyapres #Pilpres2024 https://t.co/URzMZJZunE",
297,AsepSeptiyana_,"Duh ini gimana guuysss, masa mau meninggalkan partai yang membesarkan namanya 🤔🤔 #sandiagauno #sandiaga #kemenparekraf #politikidentitas #wonderfulindonesia #IndonesiaJuara #IndonesiaMaju #BBTitans #loveisland https://t.co/wXkCVs0mt1",
298,andrikingo77,"Demi bisa nyapres pindah partai? Duhh kacang lupa kulit banget yaaa Pak Sandi ini, ngebet banget nyapres... #sandiagauno #politikidentitas #ngebetnyapres #kacanglupakulit #tidakkonsisten #labil #jakarta #kemenparekraf https://t.co/ivaLQTWbaQ",
299,mrivaldo1207,"Waduh gimana ini pak Sandi. Kok jadi kacang lupa kulitnya?...
@sandiuno
@prabowo
@aniesbaswedan
#indonesiamaju #ekonomi #captiku #sandiagagal #gagal  #wapres #okeoce #wapresgagal #sandiagauno
#bapakpolitikidentitas 
#partaigerindra 
#viraltiktok #fypシ #trendingtiktok https://t.co/sWlifoIA7Q",
300,AhmadNa88154269,"Sandiaga uno..bagaikan kacang lupa kulitnya..?????
#sandiagauno #sandiagagal 
#waspadacapresradikal 
#bapakpolitikidentitas 
#sandiagagakbisakerja
#sadiagakebeletnyapres 
#captikus #Indonesia #Pilpres2024 https://t.co/G4QJ6x7F4V",
301,emakemaksandi,"Yuk ikutin keseruan Mas Menteri makan bareng dengan Food Vlogger 🤩

#sandiagauno #sandiuno #menteri  #politik   #FYP #indoviral  #Twitter #Trendingtopic #BreakingNews #FYP  #indonesiaviral Februari #survivor2023 #Foodie #foodphotography #Foodies #vlogger #ContentCreator Sanggup https://t.co/Heg5FYzV65",
302,Cahyokt4,"Bener bener deh #KacangLupaKulitnya ,, Kesetian dan loyalitas harus di pegang boss sebagai laki laki... 

#KritikSandi #Ruangsandi #SandiagaUno #WonderfullIndonesia #BangkitBersamaKemenparekraf #DiIndonesiaAja https://t.co/dXoEVfYiRa",
303,PutraAlamsyahJ1,"Kacang Lupa Kulitnya, Apakah Lagi Musim Pemimpin Yang Begini??? 
#sandiagauno #sandi #kacanglupakulitnya #Pilpres2024 https://t.co/IvSI103lH0",
304,dekade_08,"Jumat Berkah mimin sajikan video ini. Tonton Sampai Akhir Biar Ga Gagal Paham 

#prabowo #prabowosubianto #najwashihab #matanajwa  #aniesbaswedan #sandiagauno #akbarfaisal #akbarfaizal  #pilpres2024 #ahlitatakata #dekade08 #mendingprabowo #terusmajubersamaprabowo #JumatBerkah https://t.co/EA0gd5fxLS","DKI Jakarta, Indonesia"
305,rahmadhdyt709,"Nekat buat nyapres sampai pindah partai aduh pak pak!
#sandiagauno #sandiagagagal #sandiagaforpresiden #kacanglupakulit #liputan6 #penghianat #fyp https://t.co/5fq1tX3joF",
306,NurulAeni1190,#aniesbaswedan #ridwankamil #sandiagauno #jokowi #capres #cawapres #puanmaharani #cakimin  #indonesia #exploresukabumi #kotasukabumi #infosukabumi #visitcianjur #sukabumitoday #explorecianjur #infocianjur #ciracap #caringin #cibadak #cisaat,
307,teras_skraja,#aniesbaswedan #ridwankamil #sandiagauno #jokowi #capres #cawapres #puanmaharani #cakimin  #indonesia #exploresukabumi #kotasukabumi #infosukabumi #visitcianjur #sukabumitoday #explorecianjur #infocianjur #ciracap #caringin #cibadak #cisaat,
308,jpnncom,Sukarelawan Sandi Uno Beri Sembako Murah untuk Masyarakat Sumbar #SandiagaUno https://t.co/xrfATrFRNN,Indonesia
309,jajanan_SMI,#aniesbaswedan #ridwankamil #sandiagauno #jokowi #capres #cawapres #puanmaharani #cakimin  #indonesia #exploresukabumi #kotasukabumi #infosukabumi #visitcianjur #sukabumitoday #explorecianjur #infocianjur #ciracap #caringin #cibadak #cisaat,
310,Redioktora,#aniesbaswedan #ridwankamil #sandiagauno #jokowi #capres #cawapres #puanmaharani #cakimin  #indonesia #exploresukabumi #kotasukabumi #infosukabumi #visitcianjur #sukabumitoday #explorecianjur #infocianjur #ciracap #caringin #cibadak #cisaat,
311,Cahyokt4,Nahloooooh... Gimana menurut kaliaan gaaaiiisss??? #Hoax #PekimoinSetingan #KritikSandi #Ruangsandi #SandiagaUno #WonderfullIndonesia #BangkitBersamaKemenparekraf #DiIndonesiaAja https://t.co/8Pya2WfP35,
312,VideoTRIBUN,"Fadli Zon Jadi Sosok Penting Perjanjian Anies-Prabowo, Akan Dibongkar Jika Keadaan Memanas
Selengkapnya: https://t.co/6vONvbk5WM

#beritaterkini #beritaViral #fadlizon #prabowosubianto #aniesbaswedan #sandiagauno https://t.co/fccZioVuZy",
313,Agamsyah1998,"Lah beda yaa wkwkwk
#sandiaga #sandiuno #sandiagauno #sandigagal https://t.co/0EtOzfJqqm","Bandung, Jawa Barat"
314,AhmadNa88154269,"Waduh!!parah bapak yg satu ini sudah bisa acting yaa??
#sandiagauno #sandiagagagal #acting #mencarisensasi #Trendingtopic #bapakidentitaspolitik #fyp https://t.co/H0diynCWNE",
315,rahmadhdyt709,"Waduh""udah bisa acting bapak ini,biar apa kayak gini pak??
#sandiagauno #sandiagagagal #sandiagaacting #Pilpres2024 #carisensasi #Trendingtopic #carisuara https://t.co/D3IVed6Hty",
316,Economicreview_,Sandiaga Uno Klaim Wisatawan Asing Ke Indonesia Naik 150 Persen https://t.co/zJxwH4Wg8e #sandiagauno,Jakarta Capital Region
317,jpnncom,"Dimentori Sandiaga Uno Lewat MCEBI, Omzet Mahasiswa ini Jadi Bertambah #SandiagaUno https://t.co/sC8ytH0v7Y",Indonesia
318,PutraAlamsyahJ1,Waduh.... Bang Sandi Bang Sandi 🤭🤭🤭 #sandiagauno #sandi #Pilpres2024 https://t.co/Iw8T7zhJfp,
319,BobyTrihandoyo,"Naaaah kaaan... Netizen sekarang mah cerdas bang ,
Gimana mau mencerdaskan bangsa kalau kaya gini aja masih seting seting .. Haduuu

#SandiagaUno #WonderfullIndonesia #BangkitBersamaKemenparekraf #DiIndonesiaAja https://t.co/3M5VXuXFYo",
320,mrivaldo1207,"waduh kok bohong lagu.mau sampai kapan pak Sandi bohong terus
#indonesiamaju #ekonomi #captiku #sandiagagal #gagal 
#wapres
#okeoce #wapresgagal
#sandiagauno
#bapakpolitikidentitas 
#partaigerindra 
#viraltiktok #fypシ #trendingtiktok https://t.co/HpwpcU9JCG",
321,andrikingo77,Memang yang terjadi dibelakang kamera kadang suka berbanding terbalik sihh #gagalnyalon #politikidentitas #kemenparekraf #tidakkonsisten #sandiagauno #benalu #gangapangapain #pemimpingagal #tukangbohong https://t.co/1GqSOJGDs1,
322,ariefalay66,"wadawww ketauan deh bohongnyaaa, mau sampai kapan si bohongnya Pak Sandi ini? #sandiagauno #pemimpinbohong #politikidentitas #kemenparekraf #sandiagauno2024 #tukangbohong https://t.co/50fzhcr6sc",
323,AsepSeptiyana_,"waduh.. gawattt guyyss, ini settingan apa gimana yaa? 🤔🤔🤔 #sandiagauno #sandiaga #kemenparekraf #wonderfulindonesia #politikidentitas #IndonesiaJuara #indonesiamaju #survivor2023 #loveisland #GSvUMR https://t.co/GopXIDiKnd",
324,cantiknakamuw,"sebenernya hari ini kan ada event di mariiot sama bapak sandiagauno tapi ga berani dtg krna ada dia 😌
soalnya undangan nya berdua ga sendiri 🙃",
325,lingga_susilo,"waduhhhhh, Udah Bisa Acting Bapak 1 ini, Biar Apa Kayak Gini. 
jujur Saja Saya sngat kecewa melihat Bapak #sandiagauno 
#sandiagagagal #sandiagaacting #trendingtopic #pilpres2024 #carisensasi #carisuara #haha #trending2023 #Sandiwarauno https://t.co/SnzU8pXtZd",
